record_id,class,failure_score,predicted_class,priority_level,recommended_action
8750,pos,1.0,pos,alta,inspeccion inmediata
4935,pos,1.0,pos,alta,inspeccion inmediata
42,pos,1.0,pos,alta,inspeccion inmediata
5069,pos,1.0,pos,alta,inspeccion inmediata
13897,pos,1.0,pos,alta,inspeccion inmediata
6738,pos,0.9999999999999998,pos,alta,inspeccion inmediata
5246,neg,0.9999999999999987,pos,alta,inspeccion inmediata
4694,pos,0.9999999999999958,pos,alta,inspeccion inmediata
5977,pos,0.9999999999999898,pos,alta,inspeccion inmediata
2284,pos,0.9999999999999247,pos,alta,inspeccion inmediata
9322,pos,0.9999999999999198,pos,alta,inspeccion inmediata
2531,pos,0.999999999999662,pos,alta,inspeccion inmediata
3336,pos,0.999999999999597,pos,alta,inspeccion inmediata
890,pos,0.9999999999994083,pos,alta,inspeccion inmediata
10561,pos,0.9999999999985112,pos,alta,inspeccion inmediata
9372,pos,0.9999999999978957,pos,alta,inspeccion inmediata
3294,pos,0.9999999999968561,pos,alta,inspeccion inmediata
10681,pos,0.9999999999966658,pos,alta,inspeccion inmediata
12660,pos,0.9999999999965206,pos,alta,inspeccion inmediata
7223,pos,0.999999999995618,pos,alta,inspeccion inmediata
14425,pos,0.9999999999865612,pos,alta,inspeccion inmediata
798,pos,0.9999999999785223,pos,alta,inspeccion inmediata
11294,pos,0.9999999999756055,pos,alta,inspeccion inmediata
15416,pos,0.9999999999020761,pos,alta,inspeccion inmediata
11828,pos,0.9999999998974738,pos,alta,inspeccion inmediata
7505,pos,0.9999999997284101,pos,alta,inspeccion inmediata
2174,neg,0.9999999995065061,pos,alta,inspeccion inmediata
6286,pos,0.9999999994511375,pos,alta,inspeccion inmediata
10781,pos,0.9999999994487538,pos,alta,inspeccion inmediata
12134,pos,0.9999999992315094,pos,alta,inspeccion inmediata
3264,neg,0.9999999991599102,pos,alta,inspeccion inmediata
2151,neg,0.9999999982917689,pos,alta,inspeccion inmediata
10057,pos,0.9999999963510431,pos,alta,inspeccion inmediata
1161,pos,0.9999999956772669,pos,alta,inspeccion inmediata
10759,pos,0.9999999955057934,pos,alta,inspeccion inmediata
1592,pos,0.9999999916708454,pos,alta,inspeccion inmediata
13143,pos,0.9999999904413771,pos,alta,inspeccion inmediata
443,pos,0.9999999884928362,pos,alta,inspeccion inmediata
15298,pos,0.9999999882733325,pos,alta,inspeccion inmediata
1227,pos,0.9999999881658926,pos,alta,inspeccion inmediata
697,pos,0.9999999865160516,pos,alta,inspeccion inmediata
4220,pos,0.9999999853615773,pos,alta,inspeccion inmediata
11538,pos,0.9999999848178798,pos,alta,inspeccion inmediata
9396,pos,0.9999999841566962,pos,alta,inspeccion inmediata
13690,neg,0.9999999830981047,pos,alta,inspeccion inmediata
11021,pos,0.9999999820266529,pos,alta,inspeccion inmediata
1277,pos,0.9999999757205867,pos,alta,inspeccion inmediata
9621,pos,0.9999999711798527,pos,alta,inspeccion inmediata
5633,pos,0.9999999701817208,pos,alta,inspeccion inmediata
4088,pos,0.999999958313577,pos,alta,inspeccion inmediata
3762,pos,0.99999995769259,pos,alta,inspeccion inmediata
4009,pos,0.9999999524080931,pos,alta,inspeccion inmediata
7498,pos,0.9999999487137483,pos,alta,inspeccion inmediata
2528,pos,0.9999999472490152,pos,alta,inspeccion inmediata
2778,pos,0.9999999447693774,pos,alta,inspeccion inmediata
7272,pos,0.9999999440293432,pos,alta,inspeccion inmediata
7380,pos,0.9999999428859562,pos,alta,inspeccion inmediata
9329,neg,0.9999999384216491,pos,alta,inspeccion inmediata
10827,neg,0.9999999360332149,pos,alta,inspeccion inmediata
9196,pos,0.999999916654933,pos,alta,inspeccion inmediata
13642,pos,0.9999999107691424,pos,alta,inspeccion inmediata
2942,pos,0.9999999073027107,pos,alta,inspeccion inmediata
15955,pos,0.9999998587292063,pos,alta,inspeccion inmediata
14594,pos,0.9999998466619617,pos,alta,inspeccion inmediata
4268,pos,0.9999998324336813,pos,alta,inspeccion inmediata
15155,pos,0.9999998310523012,pos,alta,inspeccion inmediata
6258,pos,0.9999998200850115,pos,alta,inspeccion inmediata
2473,pos,0.9999998110494683,pos,alta,inspeccion inmediata
11816,pos,0.9999998016415845,pos,alta,inspeccion inmediata
14560,pos,0.9999998015404999,pos,alta,inspeccion inmediata
7655,pos,0.9999997686554096,pos,alta,inspeccion inmediata
3581,pos,0.9999997403794408,pos,alta,inspeccion inmediata
10601,neg,0.9999997399755692,pos,alta,inspeccion inmediata
10838,pos,0.999999727629592,pos,alta,inspeccion inmediata
13851,pos,0.9999996908552761,pos,alta,inspeccion inmediata
950,pos,0.9999996427208906,pos,alta,inspeccion inmediata
12964,pos,0.9999996038530807,pos,alta,inspeccion inmediata
1888,pos,0.9999995933140002,pos,alta,inspeccion inmediata
4405,pos,0.999999567615923,pos,alta,inspeccion inmediata
4499,neg,0.9999995437362678,pos,alta,inspeccion inmediata
486,pos,0.9999995139321254,pos,alta,inspeccion inmediata
2800,pos,0.9999994542982296,pos,alta,inspeccion inmediata
2946,pos,0.9999993484417096,pos,alta,inspeccion inmediata
1582,neg,0.9999993410540292,pos,alta,inspeccion inmediata
5811,neg,0.9999992071489974,pos,alta,inspeccion inmediata
1304,neg,0.999999150833056,pos,alta,inspeccion inmediata
13563,pos,0.999999149735338,pos,alta,inspeccion inmediata
8978,neg,0.9999991494187265,pos,alta,inspeccion inmediata
6159,pos,0.999998937515564,pos,alta,inspeccion inmediata
3010,pos,0.9999989076966828,pos,alta,inspeccion inmediata
12150,pos,0.9999988794054174,pos,alta,inspeccion inmediata
5145,neg,0.9999988552423518,pos,alta,inspeccion inmediata
5687,pos,0.9999987687939424,pos,alta,inspeccion inmediata
833,pos,0.9999987542368337,pos,alta,inspeccion inmediata
14441,neg,0.9999986113824442,pos,alta,inspeccion inmediata
7277,pos,0.9999984982888899,pos,alta,inspeccion inmediata
2482,neg,0.999998455583049,pos,alta,inspeccion inmediata
5999,pos,0.9999984276318891,pos,alta,inspeccion inmediata
4367,pos,0.9999984103375174,pos,alta,inspeccion inmediata
970,neg,0.9999982890715221,pos,alta,inspeccion inmediata
2774,pos,0.9999981089340285,pos,alta,inspeccion inmediata
13659,neg,0.9999978147851839,pos,alta,inspeccion inmediata
4466,neg,0.9999978037953022,pos,alta,inspeccion inmediata
487,pos,0.999997561692831,pos,alta,inspeccion inmediata
15319,neg,0.9999966615239971,pos,alta,inspeccion inmediata
13248,pos,0.999996551261745,pos,alta,inspeccion inmediata
12731,pos,0.9999959820680967,pos,alta,inspeccion inmediata
10937,pos,0.9999958998061873,pos,alta,inspeccion inmediata
6497,pos,0.9999957478386053,pos,alta,inspeccion inmediata
3742,pos,0.9999955065312618,pos,alta,inspeccion inmediata
1796,pos,0.9999953734381134,pos,alta,inspeccion inmediata
4317,neg,0.999995240069585,pos,alta,inspeccion inmediata
4481,neg,0.9999947658476573,pos,alta,inspeccion inmediata
7769,neg,0.9999938702149832,pos,alta,inspeccion inmediata
9940,pos,0.9999937168628296,pos,alta,inspeccion inmediata
10847,neg,0.9999928487335871,pos,alta,inspeccion inmediata
14794,neg,0.9999927321006595,pos,alta,inspeccion inmediata
434,pos,0.999992598995588,pos,alta,inspeccion inmediata
13604,pos,0.9999923915552306,pos,alta,inspeccion inmediata
11783,pos,0.9999923587282034,pos,alta,inspeccion inmediata
6130,pos,0.9999897757305879,pos,alta,inspeccion inmediata
12180,neg,0.9999889832894021,pos,alta,inspeccion inmediata
9949,pos,0.99998897212386,pos,alta,inspeccion inmediata
9418,pos,0.9999882344208947,pos,alta,inspeccion inmediata
12310,pos,0.9999875608434804,pos,alta,inspeccion inmediata
11397,pos,0.99998752911821,pos,alta,inspeccion inmediata
13011,pos,0.9999869473968389,pos,alta,inspeccion inmediata
15241,pos,0.9999849752123751,pos,alta,inspeccion inmediata
5101,pos,0.999984569064294,pos,alta,inspeccion inmediata
14967,neg,0.9999842065670432,pos,alta,inspeccion inmediata
11995,pos,0.999984046056906,pos,alta,inspeccion inmediata
928,pos,0.9999833919449772,pos,alta,inspeccion inmediata
7153,pos,0.9999828422223197,pos,alta,inspeccion inmediata
7870,pos,0.9999828111155219,pos,alta,inspeccion inmediata
5715,pos,0.9999816026059671,pos,alta,inspeccion inmediata
9531,pos,0.9999813606183849,pos,alta,inspeccion inmediata
9503,pos,0.9999809814588203,pos,alta,inspeccion inmediata
9730,pos,0.9999795641629918,pos,alta,inspeccion inmediata
15880,neg,0.9999794917606787,pos,alta,inspeccion inmediata
5092,pos,0.9999785867365127,pos,alta,inspeccion inmediata
14691,pos,0.9999781748440455,pos,alta,inspeccion inmediata
12831,pos,0.9999779972564533,pos,alta,inspeccion inmediata
12127,pos,0.9999748236627727,pos,alta,inspeccion inmediata
6064,pos,0.9999720397873868,pos,alta,inspeccion inmediata
5851,pos,0.9999715189346072,pos,alta,inspeccion inmediata
15471,neg,0.9999676750266082,pos,alta,inspeccion inmediata
