threshold,precision_pos,recall_pos,f1_pos,cost
0.4,0.29102167182662536,0.94,0.4444444444444444,10580
0.35,0.2707736389684814,0.945,0.4209354120267261,10590
0.3,0.24738219895287958,0.945,0.3921161825726141,11250
0.5,0.33035714285714285,0.925,0.4868421052631579,11250
0.25,0.21878579610538373,0.955,0.3560111835973905,11320
0.55,0.34782608695652173,0.92,0.50480109739369,11450
0.45,0.31197301854974707,0.925,0.4665825977301387,11580
0.6,0.35984095427435386,0.905,0.5149359886201992,12720
0.2,0.18277511961722487,0.955,0.3068273092369478,13040
0.65,0.3784355179704017,0.895,0.5319465081723626,13440
0.7,0.39555555555555555,0.89,0.5476923076923077,13720
0.15,0.14501510574018128,0.96,0.25196850393700787,15320
0.75,0.4,0.87,0.5480314960629922,15610
0.8,0.4199029126213592,0.865,0.565359477124183,15890
0.85,0.44329896907216493,0.86,0.5850340136054422,16160
0.9,0.4661016949152542,0.825,0.5956678700361011,19390
0.1,0.08634361233480176,0.98,0.15870445344129555,22740
